transaction_id,amount,payment_method,failure_reason,bank,hour_of_day,day_of_week,is_weekend,prev_retry_attempts,customer_success_rate_history,retry_success
txn_000000,1068.34,UPI,expired_card,SBI,18,6,1,0,0.641,1
txn_000001,375.64,Debit Card,insufficient_funds,Axis,21,4,0,0,0.814,0
txn_000002,766.98,Credit Card,network_timeout,SBI,2,4,0,1,0.82,0
txn_000003,460.28,UPI,insufficient_funds,Kotak,16,3,0,0,0.925,0
txn_000004,827.69,Debit Card,bank_server_down,ICICI,15,6,1,0,0.818,1
txn_000005,146.94,Debit Card,bank_server_down,Axis,14,4,0,0,0.872,0
txn_000006,1337.34,Debit Card,card_declined,HDFC,8,3,0,2,0.893,0
txn_000007,261.45,Netbanking,wrong_otp,Kotak,13,6,1,0,0.816,1
txn_000008,533.96,Credit Card,wrong_otp,Axis,12,6,1,1,0.869,1
txn_000009,439.32,Credit Card,network_timeout,Axis,10,1,0,0,0.624,1
txn_000010,46.75,UPI,bank_server_down,Yes Bank,4,0,0,0,0.788,1
txn_000011,1507.0,UPI,expired_card,Axis,2,0,0,0,0.708,0
txn_000012,4791.37,Credit Card,card_declined,IDFC,10,2,0,0,0.51,0
txn_000013,1145.38,Credit Card,card_declined,SBI,19,3,0,1,0.539,1
txn_000014,3133.59,UPI,bank_server_down,HDFC,17,6,1,1,0.761,0
txn_000015,1098.39,UPI,insufficient_funds,SBI,15,2,0,1,0.565,0
txn_000016,96.1,Wallet,insufficient_funds,Axis,0,5,1,0,0.626,0
txn_000017,769.59,UPI,insufficient_funds,Yes Bank,5,4,0,0,0.588,0
txn_000018,986.67,Credit Card,wrong_otp,HDFC,16,3,0,3,0.785,0
txn_000019,146.23,UPI,insufficient_funds,HDFC,9,6,1,2,0.908,0
txn_000020,203.76,UPI,card_declined,IDFC,9,6,1,0,0.938,0
txn_000021,1091.16,UPI,insufficient_funds,SBI,22,6,1,0,0.865,0
txn_000022,950.8,UPI,insufficient_funds,Yes Bank,14,5,1,1,0.555,0
txn_000023,1030.73,Debit Card,insufficient_funds,Kotak,17,3,0,1,0.925,0
txn_000024,337.84,Netbanking,bank_server_down,Yes Bank,21,0,0,1,0.763,1
txn_000025,327.78,UPI,insufficient_funds,HDFC,13,5,1,1,0.864,0
txn_000026,181.24,Credit Card,insufficient_funds,IDFC,9,1,0,1,0.819,1
txn_000027,1131.61,Credit Card,insufficient_funds,Kotak,18,2,0,1,0.843,0
txn_000028,1555.58,Debit Card,card_declined,Kotak,23,3,0,0,0.667,1
txn_000029,1127.73,UPI,card_declined,IDFC,4,3,0,0,0.694,1
txn_000030,679.26,Netbanking,bank_server_down,Axis,8,2,0,0,0.782,1
txn_000031,5390.47,UPI,card_declined,Axis,20,6,1,1,0.636,0
txn_000032,1163.41,UPI,insufficient_funds,HDFC,4,4,0,0,0.943,1
txn_000033,564.61,Wallet,network_timeout,Yes Bank,11,5,1,1,0.967,1
txn_000034,2371.17,Debit Card,network_timeout,IDFC,12,3,0,1,0.838,1
